Rank	Protein	Mean rank	Overlapping Proteins
1	CASK	25.63	RB1,LRRK2,CALML3,SYNE2,KIF15,PCM1,DLGAP2,PDGFRA,CASR,PARP4,DST,MAGI2,ANK2,NPNT,ANK1,CIT,PARD3B,LATS2,PLCB4,PALLD,PARD3,MAP1B,KCNMA1,ARHGEF7,PLCB1,MET,PLEC,UHRF1,KIAA1210,TGOLN2,SDCBP,ADGRG1,EPB41L1,EPB41L3,NHS,SPTBN2,GSTM3,GK,MICAL3,CGN,PTPN13,MPP7,PLEKHA7,NPHS1,NPHS2,KIF4A,GSTA1,TJP3
2	EGFR	32	RB1,USP6NL,SCARB1,FOXI1,MT1X,SLC4A4,MT2A,GRB14,SALL3,UBAP2L,NCKAP5,TNS1,PDGFRB,PDGFRA,DAXX,CASR,USP2,MAGI2,NPY1R,ANK2,PDZK1,ANK3,ATP1B1,NPNT,HSPG2,ANK1,SLC9A3,ILF3,ILVBL,MAP1B,PARD3,FDX1,MT1F,PPIF,MT1G,ALPK2,RABL6,TBC1D9B,NCAPG,RASAL3,RAP1GAP,PIK3R5,TGOLN2,SDCBP,TKFC,EPB41L1,COBLL1,EPB41L3,PCK1,MYH10,FAM83B,SPTBN2,PCK2,GSTM3,CAV2,EPHX2,IDH1,CGN,L1CAM,VIL1,GJB1,HNRNPK,NASP,TH,LHX1,WRAP53,CDKN1C,TOP2A,CRYBG1,LRRK2,PTPRO,HSPB1,ARHGEF10L,PTH1R,FMN2,ELFN2,PEPD,SYNE2,AKAP12,STBD1,PRX,BLNK,CA9,NOS1,DLGAP2,PARP4,MME,DST,DCXR,ZFP91,PROX1,OSMR,DUSP9,PRODH2,CIT,PARD3B,APBB1IP,GAP43,PLCB4,LATS2,DDAH1,PALLD,PITPNM3,KCNMA1,CDHR2,CLDN16,ARHGEF7,PLCB1,DOCK2,SLC25A5,MET,ARHGEF6,PLEC,TOR4A,DDC,TAGLN,AHNAK,WIZ,SLC3A1,LRP2,HSPD1,BCLAF1,PDLIM2,TCOF1,NPY,RANBP2,IRX1,IRX2,SLC12A3,AHNAK2,AP3D1,PTPN13,SOD3,MPP7,PLEKHA7,ASS1,AGMAT,FABP1,RSL1D1,SPCS2,CENPF,SUCLA2,NPHS1,NPHS2,PSAT1,GSTA1,ACIN1,PFKP,TJP3
3	SRC*	32.82	RB1,USP6NL,SCARB1,FOXI1,CALML3,SLC4A4,MT2A,GRB14,BASP1,DHX57,UBAP2L,ZNF687,TNS1,PDGFRB,PDGFRA,DAXX,CASR,MAGI2,USP2,MYO7B,NPY1R,ANK2,ANK3,PDZK1,HDHD2,ANK1,HSPG2,SLC9A3,MAP1B,PARD3,FDX1,PPIF,ALPK2,RABL6,RASAL3,RAP1GAP,PIK3R5,TGOLN2,SDCBP,ADGRG1,EPB41L1,COBLL1,EPB41L3,MAP6,MYH10,SPTBN2,PCK2,GSTM3,CAV2,EPHX2,IDH1,CGN,L1CAM,VIL1,GJB1,HNRNPK,TH,NASP,LHX1,KIF4A,WRAP53,TOP2A,CDKN1C,ACY1,LRRK2,PTPRO,HSPB1,ARHGEF10L,PTH1R,FMN2,SIPA1L2,ELFN2,PEPD,TRIOBP,SYNE2,KIF15,AKAP12,PRX,BLNK,CA9,NOS1,DLGAP2,FCER1G,PARP4,MME,DST,ZFP91,PROX1,OSMR,DUSP9,CIT,PARD3B,APBB1IP,GAP43,PLCB4,LATS2,PALLD,PITPNM3,KCNMA1,CDHR2,PLIN2,ALDOB,ARHGEF7,PLCB1,DOCK2,SLC25A5,MET,FBP2,ARHGEF6,PLEC,TAGLN,AHNAK,UHRF1,PRUNE2,WIZ,LRP2,HSPD1,BCLAF1,PDLIM2,NPY,IRX1,RANBP2,IRX2,PKLR,PLCL1,AHNAK2,AP3D1,PTPN13,SOD3,MPP7,PLEKHA7,NPHS1,NPHS2,GSTA1,ACIN1,TJP3
4	FYN	39.55	RB1,SCARB1,GRB14,SALL3,BASP1,UBAP2L,NCKAP5,TNS1,CHGB,PDGFRB,PDGFRA,DAXX,CASR,MAGI2,MYO7B,NPY1R,ANK2,ANK3,PDZK1,ATP1B1,HSPG2,ANK1,ILF3,MAP1B,PARD3,ALPK2,SCG2,TBC1D9B,RAP1GAP,PIK3R5,TGOLN2,SDCBP,EPB41L1,EPB41L3,MAP6,MYH10,SPTBN2,GSTM3,CAV2,MICAL3,L1CAM,HNRNPK,TH,LHX1,LRRK2,PTPRO,HSPB1,FMN2,TRIOBP,PHF8,AKAP12,PCM1,PRX,BLNK,NOS1,DLGAP2,FCER1G,MME,DST,ZFP91,PROX1,OSMR,DUSP9,CIT,PARD3B,APBB1IP,GAP43,LATS2,PLCB4,KCNMA1,PLIN2,ARHGEF7,PLCB1,DOCK2,SLC25A5,MET,ARHGEF6,PLEC,AHNAK,UHRF1,PRUNE2,LRP2,HSPD1,DDN,NPY,RANBP2,PKLR,PLCL1,AP3D1,PTPN13,SOD3,MPP7,NPHS1,NPHS2,GSTA1,ACIN1
5	PDGFRB	41.27	RB1,CDKN1C,TOP2A,LRRK2,PTPRO,HSPB1,PTH1R,AKAP12,GRB14,BLNK,CA9,NOS1,NEFH,TNS1,PDGFRB,PDGFRA,DAXX,MME,DST,DCXR,MAGI2,SORD,ANK2,PROX1,OSMR,HSPG2,MLF1,CIT,SLC9A3,LATS2,PLCB4,PALLD,DOCK2,ARHGEF7,PLCB1,MET,TAGLN,PIK3R5,SDCBP,BCLAF1,ADGRG1,PDLIM2,TCOF1,EPB41L3,IRX1,CAV2,IDH1,PLCL1,L1CAM,PTPN13,SOD3,NPHS1,LHX1
6	PRKCA	43.09	RB1,PAGE4,CALML3,GRB14,UBAP2L,TNS1,CHGB,PDGFRB,PDGFRA,DAXX,CASR,MAGI2,NPY1R,MYO7B,ANK2,WRNIP1,ANK3,PDZK1,ANK1,HSPG2,SLC9A3,MAP1B,PARD3,SCG2,RAP1GAP,PIK3R5,SDCBP,EPB41L1,EPB41L3,MYH10,SPTBN2,CAV2,L1CAM,VIL1,GJB1,TH,NASP,LHX1,ACO1,CDKN1C,TOP2A,LRRK2,PTPRO,HSPB1,TRIOBP,SYNE2,PHF8,AKAP12,STBD1,PRX,BLNK,NOS1,PARP4,FCER1G,MME,DST,SORD,ZFP91,PROX1,OSMR,DUSP9,CIT,PARD3B,APBB1IP,GAP43,PLCB4,LATS2,SLC7A8,PALLD,PITPNM3,KCNMA1,ALDOB,ARHGEF7,PLCB1,DOCK2,MET,ARHGEF6,PLEC,TOR4A,DDC,TAGLN,AHNAK,UHRF1,LRP2,HSPD1,PDLIM2,NPY,RANBP2,IRX1,PLCL1,AP3D1,PTPN13,MPP7,PLEKHA7,NPHS1,ACIN1,LPIN2
7	ABL1	48.09	RB1,USP6NL,TOP2A,CDKN1C,SCARB1,LRRK2,PTPRO,HSPB1,CALML3,FMN2,TRIOBP,PCM1,GRB14,PRX,BLNK,NCKAP5,DLGAP2,TNS1,PDGFRB,PDGFRA,DAXX,PARP4,MME,DST,DCXR,MAGI2,MYO7B,WRNIP1,ANK2,PROX1,PDZK1,ANK3,OSMR,ANK1,HSPG2,MLF1,CIT,PARD3B,APBB1IP,ILF3,LATS2,PLCB4,PALLD,MAP1B,PARD3,ALPK2,ARHGEF7,DOCK2,PLCB1,MET,RABL6,ARHGEF6,PLEC,TOR4A,TBC1D9B,UHRF1,PRUNE2,WIZ,LRP2,HSPD1,TGOLN2,SDCBP,BCLAF1,PDLIM2,TCOF1,EPB41L1,COBLL1,EPB41L3,MYH10,SPTBN2,RANBP2,GSTM3,PKLR,IDH1,PLCL1,AP3D1,L1CAM,PTPN13,MPP7,PLEKHA7,ASS1,VIL1,CENPF,HNRNPK,NPHS1,KIF4A,ACIN1,LPIN2,WRAP53
8	ERBB2	49.5	RB1,USP6NL,CDKN1C,TOP2A,LRRK2,PTPRO,HSPB1,ARHGEF10L,PEPD,SYNE2,MT2A,GRB14,PRX,BLNK,CA9,NOS1,NCKAP5,NEFH,CHGB,TNS1,PDGFRB,PDGFRA,DAXX,CASR,PARP4,MME,DST,DCXR,USP2,MAGI2,ANK2,PDZK1,ANK3,OSMR,ANK1,HSPG2,DUSP9,MLF1,PARD3B,APBB1IP,GAP43,LATS2,PALLD,MAP1B,PARD3,KCNMA1,MT1F,PLIN2,CLDN16,ARHGEF7,DOCK2,PLCB1,MET,FBP1,SCG2,RABL6,PLEC,TAGLN,AHNAK,LRP2,HSPD1,PIK3R5,SDCBP,PTDSS1,ADGRG1,TKFC,TCOF1,EPB41L1,TCEAL2,NPY,EPB41L3,FAM83B,PCK2,RANBP2,GSTM3,CAV2,EPHX2,IDH1,CGN,L1CAM,PTPN13,SOD3,MPP7,ASS1,VIL1,CENPF,GJB1,HNRNPK,NPHS1,PSAT1,LHX1,GSTA1,ACIN1,TJP3
9	KDR	50.56	RB1,CDKN1C,TOP2A,SCARB1,LRRK2,PTPRO,HSPB1,AKAP12,GRB14,BLNK,CA9,NOS1,TNS1,PDGFRB,PDGFRA,DAXX,CASR,MME,DCXR,NPY1R,PROX1,HSPG2,PARD3B,LATS2,PLCB4,PALLD,MAP1B,PARD3,KCNMA1,ALDOB,DOCK2,PLCB1,SCG2,MET,PLEC,TAGLN,LRP2,HSPD1,SDCBP,TCOF1,NPY,MYH10,CAV2,IDH1,PLCL1,L1CAM,PTPN13,SOD3,PLEKHA7,MPP7,FABP1,CENPF,TH,NPHS1,NPHS2,LHX1
10	AURKA	51	RB1,TOP2A,CDKN1C,LRRK2,SIPA1L2,TRIOBP,KIF15,PHF8,AKAP12,PCM1,UBAP2L,SPDL1,TNS1,PDGFRB,PDGFRA,DAXX,SLC13A3,PARP4,USP2,NPY1R,ANK2,ANK3,ANK1,DUSP9,CIT,PARD3B,ILF3,LATS2,PARD3,ARHGEF7,PLCB1,MET,FBP2,PLEC,CDCA2,AHNAK,UHRF1,NCAPG,HSPD1,PDLIM2,TCOF1,TCEAL2,MYH10,RANBP2,IDH1,PTPN13,PLEKHA7,CENPF,HNRNPK,GJB1,NASP,PSAT1,KIF4A
